country,iso3,inform_risk,inform_p2p_hazard_and_exposure_dimension,population_density,population_living_in_urban_areas,proportion_of_population_with_basic_handwashing_facilities_on_premises,people_using_at_least_basic_sanitation_services,inform_vulnerability,inform_health_conditions,inform_epidemic_vulnerability,mortality_rate_under_5,prevalence_of_undernourishment,inform_lack_of_coping_capacity,inform_access_to_healthcare,inform_epidemic_lack_of_coping_capacity,physicians_density,current_health_expenditure_per_capita,maternal_mortality_ratio,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality_Rate,entity,year,total_covid_19_tests,Edu_Idx_2018,HDI Rank (2018),pop2020,area,Density,GrowthRate
Afghanistan,AFG,8,6.2,56.94,25.495,37.75,43.41761,8.2,2.1,4.5,67.90000153,29.8,7.2,7.6,6.7,2.84,162.78,396,Afghanistan,5/8/20 4:32,33.93911,67.709953,3563,106,468,2989,9.152714728,2.97502105,,,,0.413,170,38928.346,652230,59.685,1.0233
Albania,ALB,3,3.6,104.61,60.319,No data,97.71837,1.6,0.2,3.7,8.800000191,6.2,4.2,3.7,4.9,12,759.67,29,Albania,5/8/20 4:32,41.1533,20.1683,842,31,605,206,29.25846132,3.681710214,,,,0.758,69,2877.797,28748,100.1043,0.9989
Algeria,DZA,4,4.3,17.73,72.629,83.74,87.58657,2.9,0.4,5.9,24,3.9,4.4,3.8,3.6,18.3,998.15,140,Algeria,5/8/20 4:32,28.0339,1.6596,5182,483,2323,2376,11.81727878,9.320725589,,,,0.675,82,43851.044,2381741,18.4113,1.0185
,,,,,,,,,,,,,,,,,,,Andorra,5/8/20 4:32,42.5063,1.5218,752,47,526,179,973.273798,6.25,,,,0.708,36,77.265,468,165.0962,1.0016
Angola,AGO,5.2,6.7,24.71,65.514,26.66,49.87698,5,5,5.8,81.09999847,25,7.1,8.1,5.4,2.15,185.82,477,Angola,5/8/20 4:32,-11.2027,17.8739,36,2,11,23,0.109534797,5.555555556,,,,0.498,149,32866.272,1246700,26.3626,1.0327
Antigua and Barbuda,ATG,2.3,2.8,218.83,24.599,No data,87.50428,1.7,0,3.5,7.400000095,18.1,3.8,4.3,3.2,27.65,976.39,No data,Antigua and Barbuda,5/8/20 4:32,17.0608,-61.7964,25,3,16,6,25.52896005,12,,,,0.655,74,97.929,442,221.5588,1.0084
Argentina,ARG,2.7,3.3,16.26,91.87,No data,94.25851,1.9,0.3,5.6,10.39999962,4.6,3.5,2.1,3.3,39.6,1531.04,52,Argentina,5/8/20 4:32,-38.4161,-63.6167,5371,282,1601,3488,11.88385366,5.250418916,Argentina,5/1/20,58685,0.759,48,45195.774,2780400,16.2551,1.0093
Armenia,ARM,3.6,3.3,103.68,63.149,94.04,93.64231,2.6,0.3,4.1,12.60000038,4.3,4.8,2.7,2.9,28.99,876.86,25,Armenia,5/8/20 4:32,40.0691,45.0382,2884,42,1185,1657,97.3260971,1.45631068,,,,0.923,81,2963.243,29743,99.6282,1.0019
Australia,AUS,2.3,2.5,3.25,86.012,No data,99.99115,2.2,0.1,5.8,3.5,2.4,2.1,0.5,1.1,35.87,4529.89,6,Australia,5/8/20 4:32,-25,133,6913,97,6078,738,27.15271586,1.403153479,Australia,5/6/20,688656,0.871,6,25499.884,7692024,3.3151,1.0118
Austria,AUT,1.6,2.5,107.21,58.297,No data,99.97291,2.6,0.1,4.1,3.599999905,2.4,1.4,0.5,2.3,51.44,5295.18,4,Austria,5/8/20 4:32,47.5162,14.5501,15752,609,13698,1445,174.8978504,3.866175724,Austria,5/6/20,292254,0.694,20,9006.398,83871,107.3839,1.0057
Azerbaijan,AZE,4.6,4.1,120.27,55.68,83.24,92.51145,4.1,0.8,6.2,23,2.4,4.7,2.1,3.2,34.47,1193.06,25,Azerbaijan,5/8/20 4:32,40.1431,47.5769,2204,28,1551,625,21.73746878,1.270417423,,,,0.741,87,10139.177,86600,117.0806,1.0091
Bahamas,BHS,2.2,3.4,38.53,83.025,No data,94.93058,1.8,1.6,4.7,7.199999809,18.1,3.2,3.3,2.7,19.37,1435.57,80,Bahamas,5/8/20 4:32,25.025885,-78.035889,92,11,26,55,23.39490601,11.95652174,,,,0.738,60,393.244,13943,28.2037,1.0097
Bahrain,BHR,1.3,6.4,2017.27,89.287,No data,100,1.1,0.1,4.4,7.300000191,7.1,3.2,3,1.9,9.26,1866.3,15,Bahrain,5/8/20 4:32,26.0275,50.55,4199,8,2000,2191,246.7702134,0.190521553,Bahrain,5/6/20,160341,0.513,45,1701.575,765,2224.281,1.0368
Bangladesh,BGD,6,5.8,1239.58,36.632,34.81,48.23324,5.7,2,7.8,32.40000153,14.7,5.1,5.2,3.9,5.27,90.6,176,Bangladesh,5/8/20 4:32,23.685,90.3563,12425,199,1910,10316,7.544505768,1.601609658,Bangladesh,5/6/20,99644,0.773,135,164689.383,147570,1116.0086,1.0101
Barbados,BRB,1.9,3,666.61,31.147,88.47,97.27938,1.4,1.1,5.7,12.39999962,3.9,2.5,3,1.7,24.89,1322.99,27,Barbados,5/8/20 4:32,13.1939,-59.5432,82,7,53,22,28.53454246,8.536585366,,,,0.837,56,287.375,430,668.314,1.0012
Belarus,BLR,1.9,2.7,46.73,78.595,No data,97.79096,1.2,0.6,5.5,3.700000048,2.4,2.9,1.6,2.1,40.77,1151.41,4,Belarus,5/8/20 4:32,53.7098,27.9534,20168,116,5067,14985,213.433325,0.575168584,Belarus,5/4/20,211369,0.893,50,9449.323,207600,45.517,0.9997
Belgium,BEL,1.9,3.4,377.21,98.001,No data,99.48606,1.9,0.1,5.8,3.799999952,2.4,1.8,0.7,1.7,33.23,4667.88,7,Belgium,5/8/20 4:32,50.8333,4.469936,51420,8415,12980,30025,443.6730259,16.36522754,Belgium,4/30/20,323015,0.691,17,11589.623,30528,379.6391,1.0044
Belize,BLZ,3.7,3.2,16.79,45.724,90.08,87.85852,3.1,1.3,5.5,14.19999981,7.5,5.2,4.4,4.9,11.26,541.43,28,Belize,5/8/20 4:32,17.1899,-88.4976,18,2,16,0,4.52692388,11.11111111,,,,0.476,103,397.628,22966,17.3138,1.0186
Benin,BEN,4.4,7.1,101.85,47.312,11.03,16.45292,5.1,4.5,5.9,98.30000305,10.1,6.8,6.9,6.9,1.57,83.48,405,Benin,5/8/20 4:32,9.3077,2.3158,140,2,53,85,1.154810802,1.428571429,,,,0.441,163,12123.2,112622,107.645,1.0273
Bhutan,BTN,3.1,3.9,19.78,40.895,79.81,69.25394,3.4,1.5,6.2,30.79999924,14.9,4.4,5,3.7,3.71,293.11,148,Bhutan,5/8/20 4:32,27.5142,90.4336,7,0,5,2,0.907191697,0,,,,0.69,134,11673.021,1098581,10.6255,1.0139
Bolivia,BOL,4.3,4.5,10.48,69.425,25.38,60.71694,3.5,1.1,5.2,34.90000153,17.1,5.3,4.9,4,16.11,496.31,206,Bolivia,5/8/20 4:32,-16.2902,-63.5887,2081,102,219,1760,17.8274208,4.901489668,Bolivia,5/5/20,7888,0.706,114,3280.819,51209,64.0672,0.9939
Bosnia and Herzegovina,BIH,3.6,2.6,64.92,48.245,97.16,95.36024,3.7,0.3,2.8,5.699999809,2.4,4.5,3.8,4.4,20,1123.43,11,Bosnia and Herzegovina,5/8/20 4:32,43.9159,17.6791,2027,90,954,983,61.78342881,4.440059201,,,,0.664,75,,,,
Botswana,BWA,3.2,3.9,3.98,69.446,No data,77.26922,3.4,4.2,5.1,37.59999847,26.4,4.6,4.9,5.2,3.69,931.3,129,Botswana,5/8/20 4:32,-22.3285,24.6849,23,1,9,13,0.978047095,4.347826087,,,,0.689,94,2351.627,582000,4.0406,1.0208
Brazil,BRA,4.3,3.4,25.06,86.569,No data,88.29385,3.3,0.7,5,14.80000019,2.4,4.3,3.5,2.5,21.5,1777.47,44,Brazil,5/8/20 4:32,-14.235,-51.9253,135773,9190,55350,71233,63.87531874,6.768650615,Brazil,4/20/20,132467,0.703,79,212559.417,8515767,24.9607,1.0072
Brunei Darussalam,BRN,1.6,3.9,81.4,77.629,No data,96.349,0.9,0.4,4.2,10.5,3.2,3.5,2.5,3.8,17.7,1812.41,23,Brunei,5/8/20 4:32,4.5353,114.7277,141,1,131,9,32.22982379,0.709219858,,,,0.805,43,437.479,5765,75.8853,1.0097
Bulgaria,BGR,2.4,2.7,64.7,75.008,No data,86.0037,2.3,0.2,3.5,7.5,3.6,3,1.5,3.1,39.88,1577.94,11,Bulgaria,5/8/20 4:32,42.7339,25.4858,1829,84,384,1361,26.32243617,4.592673592,Bulgaria,5/6/20,51768,0.3,52,6948.445,110879,62.6669,0.9926
Burkina Faso,BFA,5.3,7.7,72.19,29.358,11.88,19.40209,5.8,4,5.5,81.19999695,20,6.6,6.9,5.8,0.6,115.6,371,Burkina Faso,5/8/20 4:32,12.2383,-1.5616,736,48,562,126,3.520978863,6.52173913,,,,0.418,182,20903.273,272967,76.578,1.0286
,,,,,,,,,,,,,,,,,,,Burma,5/8/20 4:32,21.9162,95.956,176,6,62,108,0.323471175,3.409090909,,,,,,,,,
Burundi,BDI,6.2,7,435.18,13.032,6.14,45.8212,6.6,3.5,5.7,61.20000076,36.8,6.8,7.5,7,0.5,50.25,712,Burundi,5/8/20 4:32,-3.3731,29.9189,15,1,7,7,0.126148148,6.666666667,,,,0.538,185,11890.784,27834,427.2036,1.0312
