country_region,last_update,lat,long,confirmed,deaths,recovered,active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Australia,5/8/2020 4:32,-25,133,6913,97,6078,738,27.15271586,,,1.403153479,36,AUS
Austria,5/8/2020 4:32,47.5162,14.5501,15752,609,13698,1445,174.8978504,,,3.866175724,40,AUT
Canada,5/8/2020 4:32,60.001,-95.001,66201,4541,29260,32400,174.8772219,,,6.859413,124,CAN
China,5/8/2020 4:32,30.5928,114.3055,83976,4637,78977,362,5.978316727,,,5.521815757,156,CHN
Denmark,5/8/2020 4:32,56,10,10281,514,7907,1860,177.4972321,,,4.999513666,208,DNK
Finland,5/8/2020 4:32,61.9241,25.7482,5673,255,3500,1918,102.3874523,,,4.494976203,246,FIN
France,5/8/2020 4:32,46.2276,2.2137,174918,25990,55191,93737,267.9770011,,,14.85839079,250,FRA
Germany,5/8/2020 4:32,51.1657,10.4515,169430,7392,141700,20338,202.2225141,,,4.36286372,276,DEU
Iceland,5/8/2020 4:32,64.9631,-19.0208,1801,10,1755,36,527.7655678,,,0.555247085,352,ISL
Ireland,5/8/2020 4:32,53.1424,-7.6921,22385,1403,17110,3872,453.3399112,,,6.267589904,372,IRL
Italy,5/8/2020 4:32,41.8719,12.5674,215858,29958,96276,89624,357.0153387,,,13.87856832,380,ITA
Netherlands,5/8/2020 4:32,52.3167,5.55,41973,5306,147,36520,244.9565865,,,12.64145999,528,NLD
Norway,5/8/2020 4:32,60.472,8.4689,8034,217,32,7785,148.1948233,,,2.701020662,578,NOR
Russia,5/8/2020 4:32,61.524,105.3188,177160,1625,23803,151732,121.3969613,,,0.917249944,643,RUS
Sweden,5/8/2020 4:32,60.1282,18.6435,24623,3040,4971,16612,243.8097011,,,12.3461804,752,SWE
Switzerland,5/8/2020 4:32,46.8182,8.2275,30126,1810,25900,2416,348.09162,,,6.008099316,756,CHE
United Kingdom,5/8/2020 4:32,55,-3,207977,30689,970,176318,306.3621185,,,14.75595859,826,GBR
US,5/8/2020 4:32,40,-100,1256972,75670,195036,1010344,381.5176438,,,6.020022721,840,USA
Afghanistan,5/8/2020 4:32,33.93911,67.709953,3563,106,468,2989,9.152714728,,,2.97502105,4,AFG
Albania,5/8/2020 4:32,41.1533,20.1683,842,31,605,206,29.25846132,,,3.681710214,8,ALB
Algeria,5/8/2020 4:32,28.0339,1.6596,5182,483,2323,2376,11.81727878,,,9.320725589,12,DZA
Andorra,5/8/2020 4:32,42.5063,1.5218,752,47,526,179,973.273798,,,6.25,20,AND
Angola,5/8/2020 4:32,-11.2027,17.8739,36,2,11,23,0.109534797,,,5.555555556,24,AGO
Antigua and Barbuda,5/8/2020 4:32,17.0608,-61.7964,25,3,16,6,25.52896005,,,12,28,ATG
Argentina,5/8/2020 4:32,-38.4161,-63.6167,5371,282,1601,3488,11.88385366,,,5.250418916,32,ARG
Armenia,5/8/2020 4:32,40.0691,45.0382,2884,42,1185,1657,97.3260971,,,1.45631068,51,ARM
Azerbaijan,5/8/2020 4:32,40.1431,47.5769,2204,28,1551,625,21.73746878,,,1.270417423,31,AZE
Bahamas,5/8/2020 4:32,25.025885,-78.035889,92,11,26,55,23.39490601,,,11.95652174,44,BHS
Bahrain,5/8/2020 4:32,26.0275,50.55,4199,8,2000,2191,246.7702134,,,0.190521553,48,BHR
Bangladesh,5/8/2020 4:32,23.685,90.3563,12425,199,1910,10316,7.544505768,,,1.601609658,50,BGD
Barbados,5/8/2020 4:32,13.1939,-59.5432,82,7,53,22,28.53454246,,,8.536585366,52,BRB
Belarus,5/8/2020 4:32,53.7098,27.9534,20168,116,5067,14985,213.433325,,,0.575168584,112,BLR
Belgium,5/8/2020 4:32,50.8333,4.469936,51420,8415,12980,30025,443.6730259,,,16.36522754,56,BEL
Belize,5/8/2020 4:32,17.1899,-88.4976,18,2,16,0,4.52692388,,,11.11111111,84,BLZ
Benin,5/8/2020 4:32,9.3077,2.3158,140,2,53,85,1.154810802,,,1.428571429,204,BEN
Bhutan,5/8/2020 4:32,27.5142,90.4336,7,0,5,2,0.907191697,,,0,64,BTN
Bolivia,5/8/2020 4:32,-16.2902,-63.5887,2081,102,219,1760,17.8274208,,,4.901489668,68,BOL
Bosnia and Herzegovina,5/8/2020 4:32,43.9159,17.6791,2027,90,954,983,61.78342881,,,4.440059201,70,BIH
Botswana,5/8/2020 4:32,-22.3285,24.6849,23,1,9,13,0.978047095,,,4.347826087,72,BWA
Brazil,5/8/2020 4:32,-14.235,-51.9253,135773,9190,55350,71233,63.87531874,,,6.768650615,76,BRA
Brunei,5/8/2020 4:32,4.5353,114.7277,141,1,131,9,32.22982379,,,0.709219858,96,BRN
Bulgaria,5/8/2020 4:32,42.7339,25.4858,1829,84,384,1361,26.32243617,,,4.592673592,100,BGR
Burkina Faso,5/8/2020 4:32,12.2383,-1.5616,736,48,562,126,3.520978863,,,6.52173913,854,BFA
Burma,5/8/2020 4:32,21.9162,95.956,176,6,62,108,0.323471175,,,3.409090909,104,MMR
Burundi,5/8/2020 4:32,-3.3731,29.9189,15,1,7,7,0.126148148,,,6.666666667,108,BDI
Cabo Verde,5/8/2020 4:32,16.5388,-23.0418,218,2,38,178,39.20947934,,,0.917431193,132,CPV
